  PID TTY           TIME CMD
  408 ??         0:07.78 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  410 ??         0:08.97 /System/Library/CoreServices/sharedfilelistd
  411 ??         0:12.26 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  413 ??         0:07.52 /usr/sbin/filecoordinationd
  416 ??         0:07.83 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  417 ??         0:08.74 /System/Library/CoreServices/diagnostics_agent
  418 ??         0:00.32 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  419 ??         0:06.28 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  420 ??         0:00.36 /usr/bin/sysdiagnose
  421 ??         0:00.44 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
  422 ??         0:00.78 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  428 ??         0:08.91 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
  432 ??         0:05.61 /System/Library/CoreServices/ScopedBookmarkAgent
  441 ??         0:06.06 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
  442 ??         0:11.65 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
  445 ??         0:07.30 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices/com.apple.MediaLibraryService.xpc/Contents/MacOS/com.apple.MediaLibraryService
  447 ??         0:00.39 /System/Library/CoreServices/pbs
  448 ??         0:00.13 /System/Library/PrivateFrameworks/PhotoLibrary.framework/Versions/A/XPCServices/com.apple.PhotoIngestService.xpc/Contents/MacOS/com.apple.PhotoIngestService
  449 ??         0:09.54 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  450 ??         0:00.19 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
  452 ??         0:05.09 /System/Library/PrivateFrameworks/ContactsAgent.framework/Executables/ContactsAgent
  454 ??         0:00.38 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
  455 ??         0:00.22 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
  462 ??         0:02.43 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  464 ??         0:00.16 /usr/libexec/USBAgent
  465 ??         1:15.44 /System/Library/CoreServices/AppleIDAuthAgent
  466 ??         0:00.00 /usr/sbin/httpd -D FOREGROUND
  467 ??         0:00.17 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  469 ??         0:06.50 /System/Library/CoreServices/mapspushd
  470 ??         0:00.52 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  471 ??         0:16.48 /usr/libexec/knowledge-agent
  472 ??         0:00.39 /usr/libexec/siriknowledged
  473 ??         0:10.53 /usr/libexec/keyboardservicesd
  474 ??         0:31.22 /usr/libexec/SafariCloudHistoryPushAgent
  475 ??         0:13.40 /System/Library/PrivateFrameworks/AssistantServices.framework/assistantd
  476 ??         0:04.16 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  477 ??         0:13.08 /System/Library/PrivateFrameworks/GameCenterFoundation.framework/Versions/A/gamed
  478 ??         0:00.25 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
  479 ??         1:10.68 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
  481 ??         2:31.04 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
  483 ??         0:03.11 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
  484 ??         0:00.13 /usr/libexec/nfcd
  485 ??         0:00.41 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
  486 ??         0:00.57 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  487 ??         0:04.73 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  488 ??         0:05.82 /Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
  489 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  502 ??         0:00.74 /usr/sbin/distnoted agent
  507 ??         0:08.44 /usr/libexec/amfid
  648 ??        19:24.08 /Applications/iTerm.app/Contents/MacOS/iTerm2 -psn_0_151589
  649 ??         1:46.54 /Applications/Keynote.app/Contents/MacOS/Keynote -psn_0_155686
  650 ??        46:45.95 /Applications/Safari.app/Contents/MacOS/Safari -psn_0_159783
  651 ??        13:23.69 /Applications/MacDown.app/Contents/MacOS/MacDown -psn_0_163880
  653 ??         0:47.89 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  654 ??         0:48.10 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  663 ??         0:53.40 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  665 ??         0:02.44 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
  666 ??         0:07.37 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCServices/WiFiProxy.xpc/Contents/MacOS/WiFiProxy
  668 ??         0:36.66 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
  671 ??         0:05.74 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  739 ??         0:03.93 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
  741 ??        17:58.37 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
  748 ??         0:38.59 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
  749 ??         0:00.90 /System/Library/Image Capture/Support/icdd
  750 ??         0:08.84 /Users/gustavo/Library/Application Support/Spigot/ApplicationManager --protect
  751 ??         0:42.29 /usr/local/bin/warsaw/core
  753 ??         0:05.73 /Users/gustavo/Library/Application Support/Spotify/SpotifyWebHelper
  754 ??         0:04.76 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
  755 ??         0:00.64 /System/Library/CoreServices/cloudpaird
  756 ??         0:14.87 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
  759 ??         0:05.92 /System/Library/CoreServices/backgroundtaskmanagementagent
  760 ??         0:00.08 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
  764 ??         8:23.06 /Applications/Backup and Sync.app/Contents/MacOS/Backup and Sync
  765 ??         0:04.64 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/SpeechSynthesisServer.app/Contents/MacOS/SpeechSynthesisServer launchd
  766 ??         0:00.12 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  769 ??         0:21.69 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  770 ??         0:16.13 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  771 ??         3:45.90 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  772 ??         1:10.24 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  773 ??         0:52.19 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  774 ??        34:02.32 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  775 ??        69:13.02 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  776 ??        59:21.45 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  778 ??         0:03.95 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  785 ??         0:03.93 /Users/gustavo/Library/Application Support/Google/Android File Transfer/Android File Transfer Agent.app/Contents/MacOS/Android File Transfer Agent
  787 ??         0:06.57 /usr/libexec/SafariNotificationAgent
  795 ??         0:02.71 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  804 ??         5:59.95 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
  810 ??         0:04.16 /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
  851 ??         0:00.19 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
  852 ??         2:42.48 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  853 ??         0:00.22 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  867 ??         0:02.66 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  881 ??         0:00.15 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
  882 ??         0:00.30 /System/Library/Frameworks/Security.framework/Versions/A/Resources/KeychainSyncingOverIDSProxy.bundle/Contents/MacOS/KeychainSyncingOverIDSProxy
  883 ??         0:00.54 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  884 ??         0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
  888 ??         0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  889 ??         0:08.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  890 ??         0:04.75 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  897 ??         0:30.98 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
  907 ??         0:17.81 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  912 ??         0:00.02 /usr/libexec/periodic-wrapper daily
  914 ??         0:01.02 /usr/libexec/silhouette
  918 ??         0:00.73 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomodel.xpc/Contents/MacOS/com.apple.photomodel
  919 ??         0:00.70 /usr/libexec/dprivacyd
  989 ??         0:10.01 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  991 ??         0:10.17 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  992 ??         0:00.03 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
  993 ??         0:00.50 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
 1024 ??         0:11.56 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPCServices/com.apple.sbd.xpc/Contents/MacOS/com.apple.sbd
 1026 ??         0:00.13 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinstalld
 1027 ??         0:05.84 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
 1045 ??         0:00.23 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
 1049 ??         0:02.36 /usr/libexec/trustd --agent
 1050 ??         0:46.29 /Applications/Backup and Sync.app/Contents/MacOS/Backup and Sync --ma_controller
 1096 ??         1:14.57 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
 1098 ??         0:00.32 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.ImageDecoder.xpc/Contents/MacOS/com.apple.Safari.ImageDecoder
 1099 ??         0:24.25 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Databases.xpc/Contents/MacOS/com.apple.WebKit.Databases
